Project Name;base URI;Model;lexicalization Model;History enabled;validation Enabled;repository Access;Consumer;Core repo id;Support report id;Data file
Legivoc_fr;http://legivoc.org/fr/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_fr.xml
Legivoc_at;http://legivoc.org/at/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_at.xml
Legivoc_be;http://legivoc.org/be/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_be.xml
Legivoc_ch;http://legivoc.org/ch/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_ch.xml
Legivoc_de;http://legivoc.org/de/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_de.xml
Legivoc_dk;http://legivoc.org/dk/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_dk.xml
Legivoc_es;http://legivoc.org/es/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_es.xml
Legivoc_eu;http://legivoc.org/eu/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_eu.xml
Legivoc_fi;http://legivoc.org/fi/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_fi.xml
Legivoc_gr;http://legivoc.org/gr/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_gr.xml
Legivoc_lt;http://legivoc.org/lt/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_lt.xml
Legivoc_mt;http://legivoc.org/mt/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_mt.xml
Legivoc_nl;http://legivoc.org/nl/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_nl.xml
Legivoc_si;http://legivoc.org/si/;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_si.xml
Legivoc_uk;http://legivoc.org/uk;<http://www.w3.org/2004/02/skos/core>;<http://www.w3.org/2008/05/skos-xl>;false;false;"{""@type"":""CreateLocal""}";SYSTEM;FirstProject_core;FirstProject_support;./All_data/all_uk.xml
